Designator,Mid X,Mid Y,Rotation,Layer
C101,196.05,-97.19,0.0,top
C102,195.48,-96.0,180.0,top
C103,189.374,-96.08,90.0,top
C104,189.55,-92.8,90.0,top
C105,200.545,-89.75,90.0,top
C106,199.0,-87.07,270.0,top
C107,191.4,-85.35,0.0,top
C401,189.67,-69.886,0.0,top
C402,189.67,-75.546,0.0,top
C403,199.07,-69.886,0.0,top
C404,199.07,-75.546,0.0,top
C405,196.325,-98.986,0.0,top
C501,193.96,-99.79,90.0,top
C601,190.675,-107.096,0.0,top
C701,193.275,-107.096,0.0,top
C801,195.875,-107.096,0.0,top
C901,198.475,-107.096,0.0,top
D301,191.345,-81.011,90.0,top
D302,188.945,-80.9985,90.0,top
IC101,194.25,-89.95,90.0,top
IC401,189.375,-72.716,270.0,top
IC402,198.775,-72.716,270.0,top
J201,194.45,-64.866,180.0,top
J202,185.56,-102.166,0.0,bottom
J203,203.34,-102.166,180.0,bottom
J204,203.34,-71.686,180.0,bottom
J205,185.56,-71.686,0.0,bottom
J403,198.445,-80.8,0.0,top
J404,185.56,-86.926,0.0,top
J405,203.34,-86.926,0.0,bottom
LED501,192.3,-99.7,0.0,top
LED601,190.555,-108.646,0.0,top
LED701,193.155,-108.646,0.0,top
LED801,195.755,-108.646,0.0,top
LED901,198.355,-108.646,0.0,top
R201,193.07,-72.82,90.0,top
R202,194.53,-72.82,90.0,top
R301,191.345,-78.011,270.0,top
R302,188.945,-77.986,270.0,top
R402,188.945,-100.986,0.0,top
Y101,192.187,-96.212,0.0,top
